source,Hearing #,Date,Hearing/Report,Year,Congress,Type,Committee1,Committee2,Category1
"Chairman, Ranking Member to Hold First EPW Business Meeting",,2015-01-21T00:00:00,"Chairman, Ranking Member to Hold First EPW Business Meeting",2015,114,Meeting,209,,9
Challenges Facing Superfund and Waste Cleanup Efforts Following Natural Disasters,S. Hrg. 115-143 - Challenges Facing Superfund and Waste Cleanup Efforts Following Natural Disasters,2017-12-06T00:00:00,Challenges Facing Superfund and Waste Cleanup Efforts Following Natural Disasters,2017,115,Hearing,209,,3
Challenges Facing the Department of Defense,S. Hrg. 111-138 - THE CHALLENGES FACING THE DEPARTMENT OF DEFENSE,2009-01-27T00:00:00,Challenges Facing the Department of Defense,2009,111,Hearing,204,,3
"Challenges and Implications of EPA’s Proposed National Ambient Air Quality Standard for Ground-Level Ozone and Legislative Hearing on S. 638, S. 751, and S. 640",S. Hrg. 114-47 - CHALLENGES AND IMPLICATIONS OF EPA'S PROPOSED NATIONAL AMBIENT AIR QUALITY STANDARD FOR GROUND...,2015-06-03T00:00:00,"Challenges and Implications of EPA’s Proposed National Ambient Air Quality Standard for Ground-Level Ozone and Legislative Hearing on S. 638, S. 751, and S. 640",2015,114,Hearing,209,,2
Challenges and Opportunities for Human Space Exploration,S. Hrg. 113-624 - CHALLENGES AND OPPORTUNITIES FOR HUMAN SPACE EXPLORATION,2013-04-23T00:00:00,Challenges and Opportunities for Human Space Exploration,2013,113,Hearing,207,,6
Challenges and Opportunities for Small Businesses Engaged in Energy Development and Energy Intensive Manufacturing,S. Hrg. 114-382 - CHALLENGES AND OPPORTUNITIES FOR SMALL BUSINESSES ENGAGED IN ENERGY DEVELOPMENT AND ENERGY...,2015-07-14T00:00:00,Challenges and Opportunities for Small Businesses Engaged in Energy Development and Energy Intensive Manufacturing,2015,114,Hearing,219,,6
Challenges and Opportunities for U.S. Business in the Digital Age,S. Hrg. 114-664 - Challenges and Opportunities for U.s. Business in the Digital Age,2016-06-15T00:00:00,Challenges and Opportunities for U.S. Business in the Digital Age,2016,114,Hearing,211,,3
Challenges and Opportunities for U.S.-China Cooperation on Climate Change,S. Hrg. 111-80 - CHALLENGES AND OPPORTUNITIES FOR U.S.-CHINA COOPERATION ON CLIMATE CHANGE,2009-06-04T00:00:00,Challenges and Opportunities for U.S.-China Cooperation on Climate Change,2009,111,Hearing,212,,6
Challenges and Opportunities in the NASA FY 2011 Budget Proposal,S. Hrg. 111-863 - Challenges and Opportunities in the Nasa Fiscal Year 2011 Budget Proposal,2010-02-24T00:00:00,Challenges and Opportunities in the NASA FY 2011 Budget Proposal,2010,111,Hearing,207,,2
Challenges for the U.S. Economic Recovery,,2011-01-28T00:00:00,Challenges for the U.S. Economic Recovery,2011,112,Hearing,206,,6
Challenges for the U.S. Economic Recovery,S. Hrg. 112-498 - Concurrent Resolution on the Budget Fiscal Year 2012,2011-02-03T00:00:00,Challenges for the U.S. Economic Recovery,2011,112,Hearing,206,,2
Challenges in the Department of Energy’s Atomic Energy Defense Programs,,2018-03-22T00:00:00,Challenges in the Department of Energy’s Atomic Energy Defense Programs,2018,115,Hearing,204,,2
Challenges to Water and Security in Southeast Asia,S. Hrg. 111-710 - Challenges to Water and Security in Southeast Asia,2010-09-23T00:00:00,Challenges to Water and Security in Southeast Asia,2010,111,Hearing,212,,6
Challenging the Status Quo: Solutions to the Hospital Observation Stay Crisis,,2015-05-20T00:00:00,Challenging the Status Quo: Solutions to the Hospital Observation Stay Crisis,2015,114,Hearing,201,,3
China’s Exchange Rate Policy and Trade Imbalances,S. Hrg. 111-640 - China's Exchange Rate Policy and Trade Imbalances,2010-04-22T00:00:00,China’s Exchange Rate Policy and Trade Imbalances,2010,111,Hearing,205,,6
Choosing to Work During Retirement and the Impact on Social Security,,2010-07-15T00:00:00,Choosing to Work During Retirement and the Impact on Social Security,2010,111,Hearing,211,,6
Chronic Illness: Addressing Patients’ Unmet Needs,S. Hrg. 113-647 - CHRONIC ILLNESS: ADDRESSING PATIENTS' UNMET NEEDS,2014-07-15T00:00:00,Chronic Illness: Addressing Patients’ Unmet Needs,2014,113,Hearing,211,,6
Citizenship for Sale: Oversight of the EB-5 Investor Visa Program,,2018-06-19T00:00:00,Citizenship for Sale: Oversight of the EB-5 Investor Visa Program,2018,115,Hearing,217,,3
Civil Rights Division Oversight,S. Hrg. 112-719 - Civil Rights Division Oversight,2011-09-13T00:00:00,Civil Rights Division Oversight,2011,112,Hearing,217,,3
Civilian Control of the Armed Forces,S. Hrg. 115-166 - Civilian Control of the Armed Forces,2017-01-10T00:00:00,Civilian Control of the Armed Forces,2017,115,Hearing,204,,6
Civilian Strategy for Afghanistan: A Status Report in Advance of the London Conference,S. Hrg. 111-759 - Civilian Strategy for Afghanistan: A Status Report in Advance of the London Conference,2010-01-21T00:00:00,Civilian Strategy for Afghanistan: A Status Report in Advance of the London Conference,2010,111,Hearing,212,,6
Clean Technology Manufacturing Competitiveness: The Role of Tax Incentives,,2010-05-20T00:00:00,Clean Technology Manufacturing Competitiveness: The Role of Tax Incentives,2010,111,Hearing,211,,3
"Cleaning Up the Oceans: How to Reduce the Impact of Man-Made Trash on the Environment, Wildlife, and Human Health?",,2018-09-26T00:00:00,"Cleaning Up the Oceans: How to Reduce the Impact of Man-Made Trash on the Environment, Wildlife, and Human Health?",2018,115,Hearing,209,,6
Cleaning up our nation's Cold War legacy sites,S. Hrg. 115-51 - Cleaning up Our Nation's Cold War Legacy Sites,2017-03-29T00:00:00,Cleaning up our nation's Cold War legacy sites,2017,115,Hearing,209,,3
Climate Change Legislation: Allowance and Revenue Distribution,,2009-08-04T00:00:00,Climate Change Legislation: Allowance and Revenue Distribution,2009,111,Hearing,211,,2
Climate Change Legislation: Considerations for Future Jobs,S. Hrg. 111-959 - CLIMATE CHANGE LEGISLATION: CONSIDERATIONS FOR FUTURE JOBS,2009-11-10T00:00:00,Climate Change Legislation: Considerations for Future Jobs,2009,111,Hearing,211,,2
Climate Change Legislation: International Trade Considerations,,2009-07-08T00:00:00,Climate Change Legislation: International Trade Considerations,2009,111,Hearing,211,,2
Climate Change Legislation: Tax Considerations,,2009-06-16T00:00:00,Climate Change Legislation: Tax Considerations,2009,111,Hearing,211,,2
"Climate Change and Global Security: Challenges, Threats and Diplomatic Opportunities","S. Hrg. 111-207 - CLIMATE CHANGE AND GLOBAL SECURITY: CHALLENGES, THREATS AND DIPLOMATIC OPPORTUNITIES",2009-07-21T00:00:00,"Climate Change and Global Security: Challenges, Threats and Diplomatic Opportunities",2009,111,Hearing,212,,6
Climate Science – Empowering Our Response to Climate Change,S. Hrg. 111-366 - Climate Science: Empowering Our Response to Climate Change,2009-03-12T00:00:00,Climate Science – Empowering Our Response to Climate Change,2009,111,Hearing,207,,6
Climate Services: Solutions from Commerce to Communities,S. Hrg. 111-488 - Climate Services: Solutions from Commerce to Communities,2009-07-30T00:00:00,Climate Services: Solutions from Commerce to Communities,2009,111,Hearing,207,,3
"Closed : Follow the Money: An Update on Stimulus Spending, Transparency, and Fraud Prevention",,2009-09-10T00:00:00,"Closed : Follow the Money: An Update on Stimulus Spending, Transparency, and Fraud Prevention",2009,111,Hearing,214,,8
Closed : Lessons from the Mumbai Terrorist Attacks,,2009-01-08T00:00:00,Closed : Lessons from the Mumbai Terrorist Attacks,2009,111,Hearing,214,,8
"Closed : Lessons from the Mumbai Terrorist Attacks, Part II",,2009-01-28T00:00:00,"Closed : Lessons from the Mumbai Terrorist Attacks, Part II",2009,111,Hearing,214,,8
Closed : Where Were the Watchdogs? The Financial Crisis and the Breakdown of Financial Governance,,2009-01-21T00:00:00,Closed : Where Were the Watchdogs? The Financial Crisis and the Breakdown of Financial Governance,2009,111,Hearing,214,,8
Closed Briefing: Evaluating the January 2017 Intelligence Community Assessment on “Russian Activities and Intentions in Recent Elections”,,2018-05-16T00:00:00,Closed Briefing: Evaluating the January 2017 Intelligence Community Assessment on “Russian Activities and Intentions in Recent Elections”,2018,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2009-03-26T00:00:00,Closed Briefing: Intelligence Matters,2009,111,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2009-06-04T00:00:00,Closed Briefing: Intelligence Matters,2009,111,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2009-06-24T00:00:00,Closed Briefing: Intelligence Matters,2009,111,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2009-07-08T00:00:00,Closed Briefing: Intelligence Matters,2009,111,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2009-08-04T00:00:00,Closed Briefing: Intelligence Matters,2009,111,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2010-09-14T00:00:00,Closed Briefing: Intelligence Matters,2010,111,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2010-11-18T00:00:00,Closed Briefing: Intelligence Matters,2010,111,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2011-02-01T00:00:00,Closed Briefing: Intelligence Matters,2011,112,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2011-05-04T00:00:00,Closed Briefing: Intelligence Matters,2011,112,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2013-06-13T00:00:00,Closed Briefing: Intelligence Matters,2013,113,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2014-07-23T00:00:00,Closed Briefing: Intelligence Matters,2014,113,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2014-09-09T00:00:00,Closed Briefing: Intelligence Matters,2014,113,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2014-09-11T00:00:00,Closed Briefing: Intelligence Matters,2014,113,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-01-08T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-01-13T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-01-20T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-01-22T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-01-27T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-01-29T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-02-03T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-02-04T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-02-05T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-02-10T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-02-24T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-02-26T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-03-10T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-03-12T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-03-17T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-03-19T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-03-24T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-04-14T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-04-16T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-04-21T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-04-23T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-04-28T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-04-30T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-05-12T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-05-19T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-05-21T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-06-02T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-06-04T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-06-09T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-06-11T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-06-16T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-06-18T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-06-23T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-06-24T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-07-07T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-07-14T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-07-16T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-07-21T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-07-23T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-07-28T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-07-30T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-08-04T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-09-08T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-09-09T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-09-10T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-09-15T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-09-17T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-09-22T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-09-29T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-09-30T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-10-01T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-10-06T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-10-08T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-10-20T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-10-22T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-10-27T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-10-29T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-11-03T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-11-05T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-11-10T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-11-17T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-11-19T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-12-01T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-12-08T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-12-10T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-12-15T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2015-12-17T00:00:00,Closed Briefing: Intelligence Matters,2015,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-01-12T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-01-20T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-01-28T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-02-04T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-02-11T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-02-23T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-02-25T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-03-01T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-03-03T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-03-08T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-03-10T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-03-15T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-03-17T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-04-05T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-04-07T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-04-12T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-04-14T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-04-19T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-04-26T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-04-28T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-05-10T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-05-12T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-05-17T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-05-19T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-05-24T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-05-26T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-06-09T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-06-14T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-06-21T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-06-28T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-07-06T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-07-07T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-07-12T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-09-08T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-09-13T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-09-15T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-09-20T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-09-21T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-09-22T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-11-17T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2016-12-07T00:00:00,Closed Briefing: Intelligence Matters,2016,114,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-01-05T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-01-10T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-01-12T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-01-24T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-01-31T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-02-07T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-02-09T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-02-14T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-02-16T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-02-28T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-03-02T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-03-07T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-03-09T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-03-14T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-03-15T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-03-21T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-03-23T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-03-28T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-03-29T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-04-04T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-04-06T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-04-25T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-04-27T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-05-02T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-05-04T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-05-09T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-05-11T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-05-16T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-05-18T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-05-23T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-05-24T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-05-25T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-06-06T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-06-07T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-06-08T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-06-12T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
Closed Briefing: Intelligence Matters,,2017-06-15T00:00:00,Closed Briefing: Intelligence Matters,2017,115,Hearing,216,,8
